Name,Height,Weight,Country,Gender
"Jackson, Joanne",185,76,Team GB,W
"Jackson, Johanna",170,55,Team GB,W
"Jamal, Maryam Yusuf",165,44,Bahrain,W
"James, Antony",180,75,Team GB,M
"James, Ciaran",193,93,Team GB,M
"James, Tom",193,93,Team GB,M
"Jamieson, Michael",186,81,Team GB,M
"JANICS-DOUCHEV, Natasa",174,67,Hungary,W
"Jargalsaikhan, Chuluunbat",184,116,Mongolia,M
"Jefferies, Richard",190,100,Team GB,M
"Jenkins, Helen",169,55,Team GB,W
"Jennerich, Lindsay",165,59,Canada,W
"Jensen, Anders",179,79,Denmark,M
"Jensen, Peter",177,70,Denmark,M
"Jeong, Darae",173,64,South Korea,W
"Jerzyk, Agnieszka",170,58,Poland,W
"Jeschke, Marta",164,58,Poland,W
"Jevtic, Olivera",174,51,Serbia,W
"Jezierski, Andrezey",172,78,Ireland,M
"Jim, Asenathi",176,65,South Africa,M
"Jimenez, Israel",174,67,Mexico,M
"Johansson, Elin",175,66,Sweden,W
"Johansson, Emma",167,58,Sweden,W
"Johansson, Jennie",185,72,Sweden,W
"Johnson, Adam",178,63,Team GB,M
"Johnson, Kyle",194,93,Team GB,M
"JOHNSON-THOMPSON, Katarina",183,68,Team GB,W
"Jonas, Natasha",172,60,Team GB,W
"Jones, Francesca",172,56,Team GB,W
"Jones, Jade",156,57,Team GB,W
"Joo, Saehyuk",180,67,South Korea,M
